id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,51,3,1,1,1
2,63,2,1,0,1
3,168,1,1,0,1
4,162,4,1,1,1
5,188,4,1,1,1
6,244,2,1,1,1
7,263,1,1,1,1
8,134,4,1,1,1
9,84,2,2,1,1
10,9,1,2,0,1
11,26,4,2,1,1
12,226,1,2,1,1
13,47,4,2,0,1
14,61,1,3,0,1
15,44,1,3,1,1
16,91,1,3,0,1
17,194,1,3,0,1
18,29,4,3,0,1
19,275,1,3,0,1
20,50,4,3,1,1
21,208,3,3,1,1
22,171,4,3,0,1
23,234,4,4,1,1
24,102,1,4,1,1
25,185,4,4,0,1
26,178,4,4,0,1
27,78,3,4,0,1
28,182,4,4,1,1
29,128,1,4,0,1
30,25,4,4,1,1
31,2,4,4,0,1
32,101,3,4,0,1
33,23,4,4,1,1
34,14,2,4,1,1
35,208,4,4,0,1
36,193,1,4,1,1
37,230,4,4,0,1
38,79,1,5,1,1
39,256,1,5,0,1
40,271,4,5,0,1
41,152,4,5,0,1
42,131,4,5,0,1
43,70,2,5,0,1
44,158,1,5,0,1
45,103,4,6,0,1
46,217,4,6,0,1
47,191,4,6,0,1
48,33,2,6,0,1
49,7,1,6,1,1
50,150,3,6,0,1
51,243,1,6,1,1
52,166,1,6,0,1
53,2,4,6,0,1
54,59,1,6,0,1
55,65,3,6,0,1
56,244,3,7,0,1
57,33,3,7,1,1
58,85,2,7,1,1
59,254,1,7,0,1
60,234,4,7,1,1
61,88,3,7,1,1
62,176,3,8,0,1
63,253,1,8,1,1
64,102,4,8,1,1
65,272,2,8,1,1
66,205,4,8,1,1
67,274,1,8,1,1
68,227,2,8,1,1
69,167,2,8,1,1
70,149,4,8,1,1
