id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,152,2,1,1,1
2,258,4,1,0,1
3,253,1,1,1,1
4,123,4,1,0,1
5,170,4,1,1,1
6,87,4,1,1,1
7,97,4,1,1,1
8,88,2,1,1,1
9,242,4,1,0,1
10,51,4,1,1,1
11,85,3,1,0,1
12,17,4,1,0,1
13,94,2,1,1,1
14,188,3,1,1,1
15,248,2,1,0,1
16,23,2,1,1,1
17,142,2,1,1,1
18,148,4,1,1,1
19,50,1,1,0,1
20,2,4,1,1,1
21,53,4,2,0,1
22,105,3,2,0,1
23,94,1,2,0,1
24,229,3,2,1,1
25,177,3,2,0,1
26,23,4,2,0,1
27,27,2,2,1,1
28,65,1,2,1,1
29,76,1,2,0,1
30,31,1,2,0,1
31,138,2,2,0,1
32,261,4,2,0,1
33,29,4,2,0,1
34,250,1,2,0,1
35,87,4,2,0,1
36,74,4,2,0,1
37,197,3,2,1,1
38,165,2,2,0,1
39,12,4,2,0,1
40,239,2,2,1,1
41,13,4,2,0,1
42,231,1,2,1,1
43,124,3,2,1,1
44,60,2,2,0,1
45,245,3,2,1,1
46,103,4,3,1,1
47,99,2,3,0,1
48,22,3,3,1,1
49,49,1,3,1,1
50,138,3,3,0,1
51,243,2,3,1,1
52,162,3,3,0,1
53,57,1,3,0,1
54,184,1,3,0,1
55,25,4,3,0,1
56,71,1,3,0,1
57,17,2,3,0,1
58,116,1,3,1,1
59,100,4,3,0,1
60,192,4,3,0,1
61,70,2,3,1,1
62,98,1,3,0,1
63,46,4,3,1,1
64,210,1,3,1,1
65,164,4,3,0,1
66,13,4,3,0,1
67,257,1,3,0,1
68,132,4,3,1,1
69,21,2,3,1,1
70,273,4,3,0,1
71,181,1,3,1,1
72,130,4,3,0,1
73,180,4,3,0,1
74,33,3,4,1,1
75,168,2,4,1,1
76,191,1,4,1,1
77,176,4,4,1,1
78,175,3,4,1,1
79,165,4,4,0,1
80,32,4,4,0,1
81,154,4,4,1,1
82,10,3,4,0,1
83,144,2,4,1,1
84,158,1,4,0,1
85,38,1,4,1,1
86,232,4,4,1,1
87,2,2,4,0,1
88,70,1,4,0,1
89,14,4,4,1,1
90,247,3,4,0,1
91,173,4,4,1,1
92,103,1,4,0,1
93,267,3,4,0,1
94,153,1,4,0,1
95,111,1,4,0,1
96,237,1,4,0,1
97,21,4,4,0,1
98,13,3,4,1,1
99,50,3,4,0,1
100,26,3,4,0,1
101,197,2,5,0,1
102,236,4,5,1,1
103,46,1,5,0,1
104,22,4,5,0,1
105,13,1,5,0,1
106,202,3,5,0,1
107,255,1,5,1,1
108,120,2,5,1,1
109,30,2,5,1,1
110,112,2,5,1,1
111,66,4,5,1,1
112,35,4,5,0,1
113,36,3,5,1,1
114,199,4,5,0,1
115,42,1,5,1,1
116,25,3,5,1,1
117,47,2,5,1,1
118,237,1,5,0,1
119,249,4,5,1,1
120,272,4,5,0,1
121,38,3,5,0,1
122,145,1,5,1,1
123,106,1,6,1,1
124,55,1,6,0,1
125,108,1,6,1,1
126,167,4,6,1,1
127,73,1,6,1,1
128,186,4,6,0,1
129,39,4,6,0,1
130,225,4,6,1,1
131,80,4,6,1,1
132,250,4,6,0,1
133,236,1,6,0,1
134,265,1,6,0,1
135,78,3,6,0,1
136,19,1,6,0,1
137,14,1,6,0,1
138,174,1,6,0,1
139,238,2,6,1,1
140,15,3,6,0,1
141,54,3,6,0,1
142,82,2,6,1,1
143,12,1,6,0,1
144,29,4,6,0,1
145,148,3,6,0,1
146,218,4,6,0,1
147,180,1,6,1,1
148,234,2,7,1,1
149,256,4,7,1,1
150,89,3,7,0,1
151,158,1,7,1,1
152,135,4,7,1,1
153,32,3,7,1,1
154,76,4,7,1,1
155,126,4,7,1,1
156,2,4,7,0,1
157,35,3,7,1,1
158,166,4,7,0,1
159,172,1,7,0,1
160,181,1,7,0,1
161,251,2,7,1,1
162,136,1,7,1,1
163,31,3,7,0,1
164,106,3,7,1,1
165,21,1,7,1,1
166,250,4,7,1,1
167,208,4,7,1,1
168,58,4,7,0,1
169,240,3,7,1,1
170,276,1,7,0,1
171,260,1,7,1,1
172,185,3,7,1,1
173,219,2,7,1,1
174,23,2,7,0,1
175,273,1,7,1,1
176,125,3,8,0,1
177,186,3,8,0,1
178,109,3,8,0,1
179,170,1,8,1,1
180,147,4,8,0,1
181,60,4,8,0,1
182,189,1,8,1,1
183,215,1,8,0,1
184,217,3,8,0,1
185,47,2,8,0,1
186,144,3,8,0,1
187,110,2,8,1,1
188,196,4,8,1,1
189,155,1,8,1,1
190,224,4,8,1,1
191,263,1,8,1,1
192,223,1,8,0,1
193,195,4,8,0,1
194,254,4,8,1,1
195,128,1,8,1,1
196,111,4,8,1,1
197,88,4,8,0,1
198,191,2,8,1,1
199,20,3,8,0,1
200,121,1,8,1,1
