id_request,id_bus_stop,No_person,id_train,is_last,id_train_station
1,229,4,1,0,1
2,262,1,1,0,1
3,219,4,1,1,1
4,258,2,1,0,1
5,107,4,2,1,1
6,3,4,2,1,1
7,135,1,2,1,1
8,120,4,2,0,1
9,239,2,2,1,1
10,248,1,2,0,1
11,118,3,2,1,1
12,134,1,3,0,1
13,56,4,3,1,1
14,120,4,3,1,1
15,12,4,3,0,1
16,5,4,3,0,1
17,215,1,4,0,1
18,131,1,4,0,1
19,147,4,4,1,1
20,246,1,4,1,1
21,112,2,4,1,1
22,153,1,4,0,1
23,144,4,5,1,1
24,65,1,5,0,1
25,41,1,5,0,1
26,238,4,5,1,1
27,268,4,6,0,1
28,167,1,6,1,1
29,236,1,6,0,1
30,208,3,6,1,1
31,156,1,6,0,1
32,74,4,6,0,1
33,94,1,6,0,1
34,8,4,6,0,1
35,185,4,6,1,1
36,169,4,6,0,1
37,72,4,7,0,1
38,4,4,7,1,1
39,166,3,7,0,1
40,111,1,7,0,1
41,256,4,7,0,1
42,264,1,7,0,1
43,216,4,7,1,1
44,91,1,7,0,1
45,190,1,7,0,1
46,170,4,7,0,1
47,222,4,7,0,1
48,73,2,7,1,1
49,114,1,7,1,1
50,276,2,7,1,1
51,203,1,7,1,1
52,158,1,8,0,1
53,153,3,8,1,1
54,66,4,8,0,1
55,217,3,8,0,1
56,20,1,8,0,1
57,118,4,8,0,1
58,35,1,8,0,1
59,135,2,8,0,1
60,40,4,8,0,1
